Epsilon-Greedy Rewards,Epsilon-Greedy Regrets,Thompson Sampling Rewards,Thompson Sampling Regrets
0,0.6000000000000001,1,11.39999999999999
0,0.6000000000000001,1,11.49999999999999
0,0.6000000000000001,1,11.599999999999989
0,0.6000000000000001,0,11.699999999999989
0,0.6000000000000001,1,11.799999999999988
1,0.6000000000000001,0,11.899999999999988
1,0.6000000000000001,0,11.999999999999988
1,0.6000000000000001,1,12.099999999999987
0,0.6000000000000001,1,12.199999999999987
1,0.6000000000000001,0,12.299999999999986
0,0.6000000000000001,0,12.399999999999986
0,0.6000000000000001,1,12.499999999999986
0,0.6000000000000001,0,12.599999999999985
0,0.6000000000000001,0,12.699999999999985
1,0.6000000000000001,0,12.799999999999985
0,0.6000000000000001,0,12.899999999999984
0,0.6000000000000001,0,12.999999999999984
1,0.6000000000000001,1,13.099999999999984
0,0.6000000000000001,1,13.399999999999984
1,0.6000000000000001,1,13.499999999999984
0,0.6000000000000001,0,13.599999999999984
1,0.6000000000000001,0,13.699999999999983
0,0.6000000000000001,0,13.799999999999983
0,0.6000000000000001,0,13.899999999999983
0,0.6000000000000001,0,14.199999999999983
0,0.6000000000000001,0,14.299999999999983
0,0.6000000000000001,0,14.399999999999983
1,0.6000000000000001,1,14.499999999999982
0,0.6000000000000001,0,14.799999999999983
0,0.6000000000000001,0,14.899999999999983
1,0.6000000000000001,0,14.999999999999982
0,0.6000000000000001,0,15.099999999999982
0,0.6000000000000001,0,15.199999999999982
1,0.6000000000000001,0,15.299999999999981
0,0.6000000000000001,0,15.39999999999998
0,0.6000000000000001,0,15.49999999999998
0,0.6000000000000001,0,15.59999999999998
1,0.6000000000000001,0,15.69999999999998
1,0.6000000000000001,0,15.99999999999998
0,0.6000000000000001,0,16.09999999999998
0,0.6000000000000001,1,16.19999999999998
0,0.6000000000000001,0,16.299999999999983
1,0.6000000000000001,0,16.399999999999984
0,0.6000000000000001,1,16.599999999999984
1,0.6000000000000001,0,16.899999999999984
0,0.6000000000000001,0,16.999999999999986
0,0.6000000000000001,0,17.099999999999987
0,0.6000000000000001,1,17.19999999999999
0,0.6000000000000001,1,17.29999999999999
1,0.6000000000000001,0,17.39999999999999
0,0.6000000000000001,0,17.499999999999993
0,0.6000000000000001,0,17.699999999999992
0,0.6000000000000001,0,17.799999999999994
0,0.6000000000000001,1,17.899999999999995
